source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
vmware;unknown;DC0_H0_VM0;1;32;1;10;disk-202-0:10GB;DC0_DVPG0
vmware;unknown;DC0_H0_VM1;1;32;1;10;disk-202-0:10GB;DC0_DVPG0
vmware;unknown;DC0_C0_RP0_VM0;1;32;1;10;disk-202-0:10GB;DC0_DVPG0
vmware;unknown;DC0_C0_RP0_VM1;1;32;1;10;disk-202-0:10GB;DC0_DVPG0
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools01;mediawiki-office;-1;81;4;-1;/home/tools/backup.sh,/opt/backups_local,/var/www/html/LocalSettings.php.tpl,/var/www/html/images;macvlan-mariadb,traefik
docker;brh-tools01;vaultwarden;-1;23;3;-1;/data,/home/tools/backup.sh,/opt/backups_local;macvlan-postgres,traefik
docker;brh-tools01;wp-techcrew;-1;16;1;-1;/var/www/html;macvlan-http-lb
docker;brh-tools01;traefik-brh-tools01;-1;37;3;-1;/etc/traefik,/letsencrypt,/var/run/docker.sock;traefik
docker;brh-tools01;mediawiki-external;-1;75;4;-1;/home/tools/backup.sh,/opt/backups_local,/var/www/html/LocalSettings.php.tpl,/var/www/html/images;macvlan-http-lb,macvlan-mariadb
docker;brh-tools01;tcp-hello;-1;0;0;-1;;macvlan-svc-gw02
docker;brh-tools01;demo-http;-1;7;1;-1;/usr/share/nginx/html/index.html;macvlan-http-lb-gw02
docker;brh-tools01;wireguard-brh-tools01;-1;16;1;-1;/etc/wireguard;traefik
docker;brh-tools01;fallback;-1;7;1;-1;/usr/share/nginx/html/index.html;macvlan-http-lb
docker;brh-tools01;cadvisor-brh-tools01;-1;118;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
docker;brh-tools01;portainer-brh-tools01;-1;16;2;-1;/data,/var/run/docker.sock;traefik
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools02;stalwart-techcrew;2;111;1;-1;/opt/stalwart;macvlan-email,traefik
docker;brh-tools02;vcenter-simulator;0;9;0;-1;;vcsim_default
docker;brh-tools02;teamspeak-techcrew;2;19;1;-1;/var/ts3server;macvlan-teamspeak
docker;brh-tools02;moodle-kingnet;-1;118;2;-1;/var/www/html,/var/www/moodledata;macvlan-http-lb,macvlan-postgres
docker;brh-tools02;etherpad;-1;375;0;-1;;macvlan-http-lb,macvlan-postgres
docker;brh-tools02;nextcloud-kingnet_nextcloud;-1;157;1;-1;/var/www/html;macvlan-http-lb,nextcloud-kingnet_default
docker;brh-tools02;nextcloud-kingnet-redis;-1;8;1;-1;/data;nextcloud-kingnet_default
docker;brh-tools02;zulip-desaive-memcached;-1;5;0;-1;;zulip-desaive_default
docker;brh-tools02;zulip-desaive-rabbitmq;-1;88;1;-1;/var/lib/rabbitmq;zulip-desaive_default
docker;brh-tools02;zulip-desaive-redis;-1;3;1;-1;/data;zulip-desaive_default
docker;brh-tools02;zulip-desaive-zulip;-1;3078;1;-1;/data;macvlan-http-lb,zulip-desaive_default
docker;brh-tools02;mx-syn-pussy_hosting;-1;140;4;-1;/data,/data/homeserver.yaml.template,/home/tools/backup.sh,/opt/backups_local;macvlan-http-lb,macvlan-postgres
docker;brh-tools02;mx-elem-pussy_hosting;-1;4;1;-1;/app/config.json;macvlan-http-lb
docker;brh-tools02;mx-wk-pussy_hosting;-1;4;2;-1;/etc/nginx/conf.d/default.conf,/usr/share/nginx/html/.well-known;macvlan-http-lb
docker;brh-tools02;zulip-kingnet-zulip;-1;2500;1;-1;/data;macvlan-http-lb,zulip-kingnet_default
docker;brh-tools02;zulip-kingnet-rabbitmq;-1;93;1;-1;/var/lib/rabbitmq;zulip-kingnet_default
docker;brh-tools02;zulip-kingnet-redis;-1;3;1;-1;/data;zulip-kingnet_default
docker;brh-tools02;zulip-kingnet-memcached;-1;6;0;-1;;zulip-kingnet_default
docker;brh-tools02;matrix-techcrew-syn;-1;137;2;-1;/data,/data/homeserver.yaml;macvlan-http-lb,matrix-techcrew_default
docker;brh-tools02;matrix-techcrew-elem;-1;4;1;-1;/app/config.json;macvlan-http-lb
docker;brh-tools02;matrix-techcrew-wk;-1;4;2;-1;/etc/nginx/conf.d/default.conf,/usr/share/nginx/html/.well-known;macvlan-http-lb
docker;brh-tools02;mx-elem-kingnet;-1;4;1;-1;/app/config.json;macvlan-http-lb
docker;brh-tools02;mx-wk-kingnet;-1;4;2;-1;/etc/nginx/conf.d/default.conf,/usr/share/nginx/html/.well-known;macvlan-http-lb
docker;brh-tools02;mx-syn-kingnet;-1;148;4;-1;/data,/data/homeserver.yaml.template,/home/tools/backup.sh,/opt/backups_local;macvlan-http-lb,macvlan-postgres
docker;brh-tools02;mx-wk-desaive;-1;4;2;-1;/etc/nginx/conf.d/default.conf,/usr/share/nginx/html/.well-known;macvlan-http-lb
docker;brh-tools02;mx-elem-desaive;-1;4;1;-1;/app/config.json;macvlan-http-lb
docker;brh-tools02;mx-syn-desaive;-1;125;4;-1;/data,/data/homeserver.yaml.template,/home/tools/backup.sh,/opt/backups_local;macvlan-http-lb,macvlan-postgres
docker;brh-tools02;cadvisor-brh-tools022;-1;145;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
docker;brh-tools02;portainer-brh-tools02;-1;12;2;-1;/data,/var/run/docker.sock;traefik
docker;brh-tools02;traefik-brh-tools02;-1;34;3;-1;/etc/traefik,/letsencrypt,/var/run/docker.sock;traefik
docker;brh-tools02;wireguard-brh-tools02;-1;17;1;-1;/etc/wireguard;traefik
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools03;host_inventory-sidecar_tools02-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-sidecar_tools05-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-sidecar_tools01-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-sidecar_tools03-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-sidecar_vcsim-1;-1;19;2;-1;/app,/textfiles;host
docker;brh-tools03;host_inventory-sidecar_tools06-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-sidecar_tools04-1;-1;19;2;-1;/app,/textfiles;host_inventory_default
docker;brh-tools03;host_inventory-node_exporter-1;-1;13;1;-1;/textfiles;host_inventory_default
docker;brh-tools03;grafana;-1;141;3;-1;/etc/grafana/dashboards,/etc/grafana/provisioning,/var/lib/grafana;prometheus,traefik
docker;brh-tools03;prometheus;-1;558;2;-1;/etc/prometheus,/prometheus;prometheus,traefik
docker;brh-tools03;alertmanager;-1;18;2;-1;/alertmanager,/etc/alertmanager/config.yml;prometheus,traefik
docker;brh-tools03;vcenter-simulator;0;10;0;-1;;prometheus_default
docker;brh-tools03;netbox-worker;-1;211;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;netbox_default
docker;brh-tools03;netbox-housekeeping;-1;6;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;netbox_default
docker;brh-tools03;netbox;-1;410;6;-1;/etc/netbox/config,/home/tools/backup.sh,/opt/backups_local,/opt/netbox/netbox/media,/opt/netbox/netbox/reports,/opt/netbox/netbox/scripts;macvlan-postgres,netbox_default,traefik
docker;brh-tools03;netbox-redis;-1;4;1;-1;/data;netbox_default
docker;brh-tools03;netbox-redis-cache;-1;3;1;-1;/data;netbox_default
docker;brh-tools03;gitlab;-1;6065;5;-1;/etc/gitlab,/home/tools/backup.sh,/opt/backups_local,/var/log/gitlab,/var/opt/gitlab;traefik
docker;brh-tools03;nfs-server;-1;82;3;-1;/etc/exports,/export/backups,/export/clonezilla;macvlan-nfs
docker;brh-tools03;postgres;-1;212;3;-1;/backups_local,/home/tools/backup.sh,/var/lib/postgresql/data;macvlan-postgres
docker;brh-tools03;mariadb;-1;138;3;-1;/backups_local,/home/tools/backup.sh,/var/lib/mysql;macvlan-mariadb
docker;brh-tools03;taiga-gateway;0;6;3;-1;/etc/nginx/conf.d/default.conf,/taiga/media,/taiga/static;taiga,traefik
docker;brh-tools03;taiga-back;1;285;4;-1;/home/tools/backup.sh,/opt/backups_local,/taiga/media,/taiga/static;macvlan-postgres,taiga
docker;brh-tools03;taiga-async;0;347;4;-1;/home/tools/backup.sh,/opt/backups_local,/taiga/media,/taiga/static;taiga
docker;brh-tools03;taiga-events;0;64;0;-1;;taiga
docker;brh-tools03;taiga-async-rabbitmq;0;101;1;-1;/var/lib/rabbitmq;taiga
docker;brh-tools03;taiga-events-rabbitmq;0;100;1;-1;/var/lib/rabbitmq;taiga
docker;brh-tools03;taiga-front;0;9;0;-1;;taiga
docker;brh-tools03;taiga-protected;0;84;0;-1;;taiga
docker;brh-tools03;pg-17-postgres-1;-1;134;1;-1;/var/lib/postgresql/data;macvlan-postgres
docker;brh-tools03;traefik-brh-tools03;-1;108;3;-1;/etc/traefik,/letsencrypt,/var/run/docker.sock;traefik
docker;brh-tools03;cadvisor-brh-tools03;-1;113;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
docker;brh-tools03;portainer-brh-tools03;-1;80;2;-1;/data,/var/run/docker.sock;traefik
docker;brh-tools03;wireguard-brh-tools03;-1;47;1;-1;/etc/wireguard;traefik
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools04;cadvisor-brh-tools04;-1;63;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools05;mc-sde;4;2998;4;-1;/config,/data,/data/server-icon.png,/plugins;macvlan-http-lb,macvlan-minecraft
docker;brh-tools05;mc-echo;4;3588;4;-1;/config,/data,/data/server-icon.png,/plugins;macvlan-http-lb,macvlan-minecraft
docker;brh-tools05;cadvisor-brh-tools05;-1;88;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
source_type;host;name;cpus;ram_mb;volumes_count;volumes_capacity_total_gb;volumes;networks
docker;brh-tools06;cadvisor-brh-tools06;-1;63;4;-1;/rootfs,/sys,/var/lib/docker,/var/run;cadvisor_default
